epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.33361485600471497,0.0010000000474974513,1.6450060606002808,0.5625,1.1061904430389404
1,0.5015202760696411,0.0010000000474974513,1.1189913749694824,0.6875,0.7939173579216003
2,0.5466216206550598,0.0010000000474974513,1.0141154527664185,0.5208333134651184,0.9245817065238953
3,0.7623310685157776,0.0010000000474974513,0.6394093036651611,0.890625,0.2700239419937134
4,0.8410472869873047,0.0010000000474974513,0.41450488567352295,0.875,0.2492058426141739
5,0.8670608401298523,0.0010000000474974513,0.3472230136394501,0.875,0.28668662905693054
6,0.8766891956329346,0.0010000000474974513,0.31480371952056885,0.96875,0.09172588586807251
7,0.8832769989967346,0.0010000000474974513,0.30580443143844604,0.875,0.20659546554088593
8,0.889695942401886,0.0010000000474974513,0.2854229807853699,0.9375,0.11939159780740738
9,0.8957770466804504,0.0010000000474974513,0.2710358202457428,0.890625,0.19643017649650574
10,0.9331080913543701,0.0002500000118743628,0.17442837357521057,0.9791666865348816,0.07513933628797531
11,0.9349662065505981,0.0002500000118743628,0.16305725276470184,0.9791666865348816,0.08105771243572235
12,0.9410473108291626,0.0002500000118743628,0.15291941165924072,0.984375,0.0400368794798851
13,0.9469594359397888,0.0002500000118743628,0.1432201862335205,0.9791666865348816,0.05105972662568092
14,0.9488175511360168,0.0002500000118743628,0.13706737756729126,1.0,0.02969389595091343
15,0.9461148381233215,0.0002500000118743628,0.13056311011314392,0.984375,0.03777160495519638
16,0.9505067467689514,0.0002500000118743628,0.1264868825674057,0.9791666865348816,0.07872828096151352
17,0.9523648619651794,0.0002500000118743628,0.1200210377573967,0.9375,0.09153100848197937
18,0.9619932174682617,6.25000029685907e-05,0.09686493873596191,1.0,0.02486148104071617
19,0.9662162065505981,6.25000029685907e-05,0.08936252444982529,0.9791666865348816,0.06825745105743408
20,0.9675675630569458,6.25000029685907e-05,0.08855327218770981,0.9791666865348816,0.06420942395925522
21,0.9707770347595215,6.25000029685907e-05,0.08133208006620407,1.0,0.02701425366103649
22,0.9751689434051514,1.5625000742147677e-05,0.07468909025192261,1.0,0.03699571266770363
23,0.9743243455886841,1.5625000742147677e-05,0.07242363691329956,0.9583333134651184,0.056014735251665115
24,0.9773648381233215,1.5625000742147677e-05,0.06943176686763763,1.0,0.02087593264877796
25,0.9766891598701477,1.5625000742147677e-05,0.07071097195148468,0.9791666865348816,0.042158711701631546
26,0.9755067825317383,1.5625000742147677e-05,0.06960294395685196,0.9791666865348816,0.051440466195344925
27,0.9716216325759888,1.5625000742147677e-05,0.07266165316104889,0.984375,0.03165493160486221
28,0.972466230392456,3.906250185536919e-06,0.07314670830965042,0.9791666865348816,0.049793798476457596
29,0.9771959185600281,3.906250185536919e-06,0.06727553904056549,0.9791666865348816,0.05251501873135567
30,0.974662184715271,3.906250185536919e-06,0.07134288549423218,1.0,0.027146490290760994
31,0.9760135412216187,9.999999974752427e-07,0.07022324949502945,0.9791666865348816,0.04673989489674568
32,0.9761824607849121,9.999999974752427e-07,0.0683804303407669,0.9791666865348816,0.04870113730430603
33,0.9763513803482056,9.999999974752427e-07,0.06915494799613953,1.0,0.027821041643619537
34,0.9756757020950317,9.999999974752427e-07,0.0707368329167366,0.9791666865348816,0.04607829451560974
